MODE,FREQUENCY,MODAL MASS,KENE,X-DIR,RATIO%,Y-DIR,RATIO%,Z-DIR,RATIO%
260,1190.,0.3543E-03,9911.,0.000,0.00,0.000,0.00,0.000,0.00
261,1195.,0.1728E-02,0.4873E+05,0.000,0.00,0.000,0.00,0.000,0.00
262,1203.,0.1912E-03,5461.,0.000,0.00,0.000,0.00,0.000,0.00
263,1206.,0.2039E-03,5849.,0.000,0.00,0.000,0.00,0.000,0.00
264,1211.,0.5353E-03,0.1549E+05,0.000,0.00,0.000,0.00,0.000,0.00
265,1212.,0.8397E-04,2434.,0.000,0.00,0.000,0.00,0.000,0.00
266,1219.,0.2928E-03,8591.,0.000,0.00,0.000,0.00,0.000,0.00
267,1223.,0.3097E-04,913.7,0.000,0.00,0.000,0.00,0.000,0.00
268,1227.,0.2703E-03,8033.,0.000,0.00,0.000,0.00,0.000,0.00
269,1230.,0.3166E-04,946.0,0.000,0.00,0.000,0.00,0.000,0.00
270,1240.,0.9967E-04,3023.,0.000,0.00,0.000,0.00,0.000,0.00
271,1244.,0.2599E-03,7932.,0.000,0.00,0.000,0.00,0.000,0.00
272,1254.,0.1862E-03,5783.,0.000,0.00,0.000,0.00,0.000,0.00
273,1265.,0.5451E-04,1721.,0.000,0.00,0.000,0.00,0.000,0.00
274,1274.,0.3122E-04,1000.0,0.000,0.00,0.000,0.00,0.000,0.00
275,1291.,0.9016E-04,2967.,0.000,0.00,0.000,0.00,0.000,0.00
276,1297.,0.1279E-03,4248.,0.000,0.00,0.000,0.00,0.000,0.00
277,1299.,0.2336E-04,777.6,0.000,0.00,0.000,0.00,0.000,0.00
278,1312.,0.1904E-03,6470.,0.000,0.00,0.000,0.00,0.000,0.00
279,1315.,0.3579E-03,0.1222E+05,0.000,0.00,0.000,0.00,0.000,0.00
280,1317.,0.1348E-03,4612.,0.000,0.00,0.000,0.00,0.000,0.00
281,1329.,0.1750E-03,6098.,0.000,0.00,0.000,0.00,0.000,0.00
282,1335.,0.2196E-03,7722.,0.000,0.00,0.000,0.00,0.000,0.00
283,1342.,0.1361E-03,4839.,0.000,0.00,0.000,0.00,0.000,0.00
284,1343.,0.9780E-04,3481.,0.000,0.00,0.000,0.00,0.000,0.00
285,1347.,0.8686E-04,3109.,0.000,0.00,0.000,0.00,0.000,0.00
286,1349.,0.1556E-03,5591.,0.000,0.00,0.000,0.00,0.000,0.00
287,1355.,0.3695E-03,0.1339E+05,0.000,0.00,0.000,0.00,0.000,0.00
288,1358.,0.6893E-04,2509.,0.000,0.00,0.000,0.00,0.000,0.00
289,1360.,0.1276E-03,4663.,0.000,0.00,0.000,0.00,0.000,0.00
290,1363.,0.1019E-03,3735.,0.000,0.00,0.000,0.00,0.000,0.00
291,1366.,0.4370E-03,0.1609E+05,0.000,0.00,0.000,0.00,0.000,0.00
292,1381.,0.2433E-03,9161.,0.000,0.00,0.000,0.00,0.000,0.00
293,1385.,0.4694E-03,0.1778E+05,0.000,0.00,0.000,0.00,0.000,0.00
294,1386.,0.5585E-03,0.2117E+05,0.000,0.00,0.000,0.00,0.000,0.00
295,1395.,0.1362E-03,5236.,0.000,0.00,0.000,0.00,0.000,0.00
296,1401.,0.1800E-03,6980.,0.000,0.00,0.000,0.00,0.000,0.00
297,1406.,0.9188E-04,3583.,0.000,0.00,0.000,0.00,0.000,0.00
298,1414.,0.2174E-03,8582.,0.000,0.00,0.000,0.00,0.000,0.00
299,1418.,0.1664E-03,6608.,0.000,0.00,0.000,0.00,0.000,0.00
300,1426.,0.8721E-03,0.3499E+05,0.000,0.00,0.000,0.00,0.000,0.00
301,1427.,0.2969E-03,0.1193E+05,0.000,0.00,0.000,0.00,0.000,0.00
302,1430.,0.1249E-03,5044.,0.000,0.00,0.000,0.00,0.000,0.00
303,1449.,0.8127E-04,3370.,0.000,0.00,0.000,0.00,0.000,0.00
304,1463.,0.3042E-03,0.1286E+05,0.000,0.00,0.000,0.00,0.000,0.00
305,1467.,0.2328E-03,9892.,0.000,0.00,0.000,0.00,0.000,0.00
306,1481.,0.9696E-04,4200.,0.000,0.00,0.000,0.00,0.000,0.00
307,1487.,0.1680E-03,7333.,0.000,0.00,0.000,0.00,0.000,0.00
308,1492.,0.5662E-03,0.2489E+05,0.000,0.00,0.000,0.00,0.000,0.00
309,1499.,0.2831E-03,0.1256E+05,0.000,0.00,0.000,0.00,0.000,0.00
310,1501.,0.1127E-03,5016.,0.000,0.00,0.000,0.00,0.000,0.00
311,1515.,0.1358E-03,6149.,0.000,0.00,0.000,0.00,0.000,0.00
312,1531.,0.9477E-04,4383.,0.000,0.00,0.000,0.00,0.000,0.00
313,1533.,0.1537E-03,7130.,0.000,0.00,0.000,0.00,0.000,0.00
314,1539.,0.1128E-02,0.5270E+05,0.000,0.00,0.000,0.00,0.000,0.00
315,1543.,0.7626E-04,3585.,0.000,0.00,0.000,0.00,0.000,0.00
316,1553.,0.1558E-03,7415.,0.000,0.00,0.000,0.00,0.000,0.00
317,1562.,0.1195E-03,5752.,0.000,0.00,0.000,0.00,0.000,0.00
318,1573.,0.3234E-03,0.1579E+05,0.000,0.00,0.000,0.00,0.000,0.00
319,1576.,0.3727E-03,0.1828E+05,0.000,0.00,0.000,0.00,0.000,0.00
320,1579.,0.3523E-03,0.1733E+05,0.000,0.00,0.000,0.00,0.000,0.00
321,1584.,0.1980E-03,9809.,0.000,0.00,0.000,0.00,0.000,0.00
322,1597.,0.1821E-03,9160.,0.000,0.00,0.000,0.00,0.000,0.00
323,1599.,0.7499E-03,0.3786E+05,0.000,0.00,0.000,0.00,0.000,0.00
324,1603.,0.5833E-04,2960.,0.000,0.00,0.000,0.00,0.000,0.00
325,1606.,0.8309E-03,0.4232E+05,0.000,0.00,0.000,0.00,0.000,0.00
326,1615.,0.9204E-05,474.1,0.000,0.00,0.000,0.00,0.000,0.00
327,1625.,0.4846E-04,2525.,0.000,0.00,0.000,0.00,0.000,0.00
328,1633.,0.7288E-04,3835.,0.000,0.00,0.000,0.00,0.000,0.00
329,1637.,0.1612E-03,8532.,0.000,0.00,0.000,0.00,0.000,0.00
330,1642.,0.2596E-03,0.1381E+05,0.000,0.00,0.000,0.00,0.000,0.00
331,1644.,0.1193E-03,6369.,0.000,0.00,0.000,0.00,0.000,0.00
332,1645.,0.1409E-03,7531.,0.000,0.00,0.000,0.00,0.000,0.00
333,1655.,0.2168E-04,1172.,0.000,0.00,0.000,0.00,0.000,0.00
334,1659.,0.3065E-04,1664.,0.000,0.00,0.000,0.00,0.000,0.00
335,1663.,0.1839E-04,1004.,0.000,0.00,0.000,0.00,0.000,0.00
336,1670.,0.4009E-03,0.2208E+05,0.000,0.00,0.000,0.00,0.000,0.00
337,1678.,0.1248E-03,6942.,0.000,0.00,0.000,0.00,0.000,0.00
338,1681.,0.1552E-03,8651.,0.000,0.00,0.000,0.00,0.000,0.00
339,1687.,0.2516E-03,0.1413E+05,0.000,0.00,0.000,0.00,0.000,0.00
340,1694.,0.1734E-03,9825.,0.000,0.00,0.000,0.00,0.000,0.00
341,1701.,0.6428E-03,0.3671E+05,0.000,0.00,0.000,0.00,0.000,0.00
342,1707.,0.4215E-03,0.2425E+05,0.000,0.00,0.000,0.00,0.000,0.00
343,1712.,0.1120E-03,6478.,0.000,0.00,0.000,0.00,0.000,0.00
344,1714.,0.1885E-03,0.1093E+05,0.000,0.00,0.000,0.00,0.000,0.00
345,1725.,0.3688E-03,0.2165E+05,0.000,0.00,0.000,0.00,0.000,0.00
346,1727.,0.2707E-03,0.1595E+05,0.000,0.00,0.000,0.00,0.000,0.00
347,1742.,0.5482E-03,0.3282E+05,0.000,0.00,0.000,0.00,0.000,0.00
348,1748.,0.1891E-03,0.1141E+05,0.000,0.00,0.000,0.00,0.000,0.00
349,1756.,0.2902E-03,0.1766E+05,0.000,0.00,0.000,0.00,0.000,0.00
350,1757.,0.1935E-03,0.1179E+05,0.000,0.00,0.000,0.00,0.000,0.00
351,1758.,0.3300E-03,0.2012E+05,0.000,0.00,0.000,0.00,0.000,0.00
352,1766.,0.6373E-03,0.3921E+05,0.000,0.00,0.000,0.00,0.000,0.00
353,1768.,0.5569E-03,0.3436E+05,0.000,0.00,0.000,0.00,0.000,0.00
354,1776.,0.3103E-03,0.1932E+05,0.000,0.00,0.000,0.00,0.000,0.00
355,1778.,0.4561E-03,0.2847E+05,0.000,0.00,0.000,0.00,0.000,0.00
356,1780.,0.2493E-03,0.1560E+05,0.000,0.00,0.000,0.00,0.000,0.00
357,1784.,0.2188E-03,0.1375E+05,0.000,0.00,0.000,0.00,0.000,0.00
358,1788.,0.2098E-03,0.1324E+05,0.000,0.00,0.000,0.00,0.000,0.00
359,1793.,0.1140E-03,7236.,0.000,0.00,0.000,0.00,0.000,0.00
360,1795.,0.9681E-03,0.6159E+05,0.000,0.00,0.000,0.00,0.000,0.00
361,1801.,0.1671E-03,0.1070E+05,0.000,0.00,0.000,0.00,0.000,0.00
362,1803.,0.2697E-03,0.1731E+05,0.000,0.00,0.000,0.00,0.000,0.00
363,1810.,0.4033E-03,0.2608E+05,0.000,0.00,0.000,0.00,0.000,0.00
364,1817.,0.1654E-03,0.1078E+05,0.000,0.00,0.000,0.00,0.000,0.00
365,1819.,0.2205E-03,0.1440E+05,0.000,0.00,0.000,0.00,0.000,0.00
366,1821.,0.6636E-04,4342.,0.000,0.00,0.000,0.00,0.000,0.00
367,1827.,0.5846E-04,3854.,0.000,0.00,0.000,0.00,0.000,0.00
368,1833.,0.3567E-03,0.2366E+05,0.000,0.00,0.000,0.00,0.000,0.00
369,1839.,0.9911E-05,661.8,0.000,0.00,0.000,0.00,0.000,0.00
370,1842.,0.3532E-04,2364.,0.000,0.00,0.000,0.00,0.000,0.00
371,1849.,0.1041E-03,7021.,0.000,0.00,0.000,0.00,0.000,0.00
372,1862.,0.1112E-03,7606.,0.000,0.00,0.000,0.00,0.000,0.00
373,1863.,0.3189E-03,0.2185E+05,0.000,0.00,0.000,0.00,0.000,0.00
374,1870.,0.3315E-04,2287.,0.000,0.00,0.000,0.00,0.000,0.00
375,1881.,0.2630E-03,0.1837E+05,0.000,0.00,0.000,0.00,0.000,0.00
376,1884.,0.6132E-04,4294.,0.000,0.00,0.000,0.00,0.000,0.00
377,1888.,0.1865E-03,0.1313E+05,0.000,0.00,0.000,0.00,0.000,0.00
378,1898.,0.1597E-03,0.1136E+05,0.000,0.00,0.000,0.00,0.000,0.00
379,1902.,0.3609E-04,2576.,0.000,0.00,0.000,0.00,0.000,0.00
380,1913.,0.1293E-04,934.1,0.000,0.00,0.000,0.00,0.000,0.00
381,1917.,0.3450E-04,2504.,0.000,0.00,0.000,0.00,0.000,0.00
382,1927.,0.3050E-04,2235.,0.000,0.00,0.000,0.00,0.000,0.00
383,1942.,0.7879E-04,5867.,0.000,0.00,0.000,0.00,0.000,0.00
384,1946.,0.3050E-03,0.2281E+05,0.000,0.00,0.000,0.00,0.000,0.00
385,1955.,0.6481E-04,4891.,0.000,0.00,0.000,0.00,0.000,0.00
386,1966.,0.2894E-03,0.2208E+05,0.000,0.00,0.000,0.00,0.000,0.00
387,1970.,0.4174E-04,3198.,0.000,0.00,0.000,0.00,0.000,0.00
388,1975.,0.6041E-04,4650.,0.000,0.00,0.000,0.00,0.000,0.00
389,1984.,0.6402E-04,4975.,0.000,0.00,0.000,0.00,0.000,0.00
390,1986.,0.7805E-04,6077.,0.000,0.00,0.000,0.00,0.000,0.00
391,1996.,0.3405E-03,0.2679E+05,0.000,0.00,0.000,0.00,0.000,0.00
392,1999.,0.3039E-03,0.2396E+05,0.000,0.00,0.000,0.00,0.000,0.00
393,2002.,0.1992E-03,0.1577E+05,0.000,0.00,0.000,0.00,0.000,0.00
394,2004.,0.4193E-03,0.3323E+05,0.000,0.00,0.000,0.00,0.000,0.00
395,2012.,0.1848E-03,0.1477E+05,0.000,0.00,0.000,0.00,0.000,0.00
396,2013.,0.1757E-03,0.1405E+05,0.000,0.00,0.000,0.00,0.000,0.00
397,2016.,0.1022E-03,8204.,0.000,0.00,0.000,0.00,0.000,0.00
398,2017.,0.7537E-04,6053.,0.000,0.00,0.000,0.00,0.000,0.00
399,2023.,0.2446E-03,0.1976E+05,0.000,0.00,0.000,0.00,0.000,0.00
400,2030.,0.3063E-03,0.2492E+05,0.000,0.00,0.000,0.00,0.000,0.00
401,2043.,0.4876E-03,0.4019E+05,0.000,0.00,0.000,0.00,0.000,0.00
402,2046.,0.4327E-03,0.3575E+05,0.000,0.00,0.000,0.00,0.000,0.00
403,2049.,0.8934E-04,7402.,0.000,0.00,0.000,0.00,0.000,0.00
404,2054.,0.1152E-03,9594.,0.000,0.00,0.000,0.00,0.000,0.00
405,2057.,0.7749E-04,6472.,0.000,0.00,0.000,0.00,0.000,0.00
406,2063.,0.1470E-03,0.1236E+05,0.000,0.00,0.000,0.00,0.000,0.00
407,2082.,0.2405E-03,0.2058E+05,0.000,0.00,0.000,0.00,0.000,0.00
408,2091.,0.1255E-03,0.1083E+05,0.000,0.00,0.000,0.00,0.000,0.00
409,2097.,0.5613E-04,4871.,0.000,0.00,0.000,0.00,0.000,0.00
410,2107.,0.7199E-04,6308.,0.000,0.00,0.000,0.00,0.000,0.00
411,2111.,0.1735E-03,0.1526E+05,0.000,0.00,0.000,0.00,0.000,0.00
412,2122.,0.3230E-03,0.2870E+05,0.000,0.00,0.000,0.00,0.000,0.00
413,2132.,0.2427E-03,0.2176E+05,0.000,0.00,0.000,0.00,0.000,0.00
414,2141.,0.7888E-04,7140.,0.000,0.00,0.000,0.00,0.000,0.00
415,2150.,0.4431E-04,4043.,0.000,0.00,0.000,0.00,0.000,0.00
416,2154.,0.8946E-04,8192.,0.000,0.00,0.000,0.00,0.000,0.00
417,2160.,0.1035E-03,9537.,0.000,0.00,0.000,0.00,0.000,0.00
418,2170.,0.1430E-03,0.1329E+05,0.000,0.00,0.000,0.00,0.000,0.00
419,2187.,0.4828E-04,4556.,0.000,0.00,0.000,0.00,0.000,0.00
420,2193.,0.1135E-03,0.1077E+05,0.000,0.00,0.000,0.00,0.000,0.00
421,2195.,0.1874E-03,0.1782E+05,0.000,0.00,0.000,0.00,0.000,0.00
422,2201.,0.1332E-03,0.1273E+05,0.000,0.00,0.000,0.00,0.000,0.00
423,2216.,0.1743E-03,0.1690E+05,0.000,0.00,0.000,0.00,0.000,0.00
424,2219.,0.1087E-03,0.1057E+05,0.000,0.00,0.000,0.00,0.000,0.00
425,2220.,0.1199E-03,0.1166E+05,0.000,0.00,0.000,0.00,0.000,0.00
426,2227.,0.1220E-03,0.1194E+05,0.000,0.00,0.000,0.00,0.000,0.00
427,2232.,0.1321E-04,1299.,0.000,0.00,0.000,0.00,0.000,0.00
428,2232.,0.1055E-03,0.1038E+05,0.000,0.00,0.000,0.00,0.000,0.00
429,2233.,0.1391E-03,0.1369E+05,0.000,0.00,0.000,0.00,0.000,0.00
430,2240.,0.2871E-02,0.2845E+06,0.000,0.00,0.000,0.00,0.000,0.00
431,2242.,0.1898E-03,0.1883E+05,0.000,0.00,0.000,0.00,0.000,0.00
432,2255.,0.1115E-04,1119.,0.000,0.00,0.000,0.00,0.000,0.00
433,2269.,0.3301E-04,3355.,0.000,0.00,0.000,0.00,0.000,0.00
434,2276.,0.3034E-04,3101.,0.000,0.00,0.000,0.00,0.000,0.00
435,2297.,0.8251E-04,8597.,0.000,0.00,0.000,0.00,0.000,0.00
436,2306.,0.6067E-03,0.6369E+05,0.000,0.00,0.000,0.00,0.000,0.00
437,2317.,0.4769E-04,5053.,0.000,0.00,0.000,0.00,0.000,0.00
438,2319.,0.1043E-03,0.1107E+05,0.000,0.00,0.000,0.00,0.000,0.00
439,2321.,0.3521E-03,0.3746E+05,0.000,0.00,0.000,0.00,0.000,0.00
440,2324.,0.7272E-03,0.7752E+05,0.000,0.00,0.000,0.00,0.000,0.00
441,2328.,0.1515E-04,1620.,0.000,0.00,0.000,0.00,0.000,0.00
442,2336.,0.3565E-04,3840.,0.000,0.00,0.000,0.00,0.000,0.00
443,2342.,0.1751E-04,1895.,0.000,0.00,0.000,0.00,0.000,0.00
444,2345.,0.7523E-03,0.8166E+05,0.000,0.00,0.000,0.00,0.000,0.00
445,2358.,0.2140E-03,0.2349E+05,0.000,0.00,0.000,0.00,0.000,0.00
446,2363.,0.1019E-03,0.1123E+05,0.000,0.00,0.000,0.00,0.000,0.00
447,2366.,0.3817E-03,0.4219E+05,0.000,0.00,0.000,0.00,0.000,0.00
448,2369.,0.3311E-03,0.3670E+05,0.000,0.00,0.000,0.00,0.000,0.00
449,2375.,0.2282E-03,0.2542E+05,0.000,0.00,0.000,0.00,0.000,0.00
450,2380.,0.7442E-05,832.4,0.000,0.00,0.000,0.00,0.000,0.00
451,2384.,0.9088E-03,0.1020E+06,0.000,0.00,0.000,0.00,0.000,0.00
452,2389.,0.7017E-04,7903.,0.000,0.00,0.000,0.00,0.000,0.00
453,2395.,0.1514E-03,0.1713E+05,0.000,0.00,0.000,0.00,0.000,0.00
454,2404.,0.2769E-03,0.3159E+05,0.000,0.00,0.000,0.00,0.000,0.00
455,2406.,0.1455E-03,0.1663E+05,0.000,0.00,0.000,0.00,0.000,0.00
456,2417.,0.5862E-03,0.6757E+05,0.000,0.00,0.000,0.00,0.000,0.00
457,2418.,0.1434E-03,0.1654E+05,0.000,0.00,0.000,0.00,0.000,0.00
458,2425.,0.9581E-05,1112.,0.000,0.00,0.000,0.00,0.000,0.00
459,2426.,0.8076E-03,0.9383E+05,0.000,0.00,0.000,0.00,0.000,0.00
460,2431.,0.4387E-04,5117.,0.000,0.00,0.000,0.00,0.000,0.00
461,2435.,0.3044E-03,0.3563E+05,0.000,0.00,0.000,0.00,0.000,0.00
462,2443.,0.3139E-03,0.3699E+05,0.000,0.00,0.000,0.00,0.000,0.00
463,2447.,0.9522E-04,0.1125E+05,0.000,0.00,0.000,0.00,0.000,0.00
464,2452.,0.3384E-03,0.4015E+05,0.000,0.00,0.000,0.00,0.000,0.00
465,2455.,0.4269E-04,5080.,0.000,0.00,0.000,0.00,0.000,0.00
466,2459.,0.2393E-03,0.2856E+05,0.000,0.00,0.000,0.00,0.000,0.00
467,2461.,0.1018E-03,0.1217E+05,0.000,0.00,0.000,0.00,0.000,0.00
468,2463.,0.1041E-03,0.1247E+05,0.000,0.00,0.000,0.00,0.000,0.00
469,2470.,0.3723E-03,0.4484E+05,0.000,0.00,0.000,0.00,0.000,0.00
470,2471.,0.9766E-04,0.1177E+05,0.000,0.00,0.000,0.00,0.000,0.00
471,2482.,0.3085E-04,3751.,0.000,0.00,0.000,0.00,0.000,0.00
472,2487.,0.1041E-03,0.1271E+05,0.000,0.00,0.000,0.00,0.000,0.00
473,2492.,0.3357E-03,0.4115E+05,0.000,0.00,0.000,0.00,0.000,0.00
474,2493.,0.9378E-04,0.1151E+05,0.000,0.00,0.000,0.00,0.000,0.00
475,2496.,0.4160E-03,0.5115E+05,0.000,0.00,0.000,0.00,0.000,0.00
476,2504.,0.1105E-03,0.1367E+05,0.000,0.00,0.000,0.00,0.000,0.00
477,2512.,0.8585E-04,0.1069E+05,0.000,0.00,0.000,0.00,0.000,0.00
478,2523.,0.5547E-04,6970.,0.000,0.00,0.000,0.00,0.000,0.00
479,2524.,0.3891E-03,0.4895E+05,0.000,0.00,0.000,0.00,0.000,0.00
480,2535.,0.1973E-03,0.2503E+05,0.000,0.00,0.000,0.00,0.000,0.00
481,2543.,0.9676E-04,0.1235E+05,0.000,0.00,0.000,0.00,0.000,0.00
482,2558.,0.6601E-04,8526.,0.000,0.00,0.000,0.00,0.000,0.00
483,2569.,0.3261E-03,0.4249E+05,0.000,0.00,0.000,0.00,0.000,0.00
484,2570.,0.1290E-03,0.1682E+05,0.000,0.00,0.000,0.00,0.000,0.00
485,2588.,0.5780E-03,0.7642E+05,0.000,0.00,0.000,0.00,0.000,0.00
486,2592.,0.2674E-03,0.3546E+05,0.000,0.00,0.000,0.00,0.000,0.00
487,2598.,0.1639E-03,0.2184E+05,0.000,0.00,0.000,0.00,0.000,0.00
488,2607.,0.2375E-03,0.3187E+05,0.000,0.00,0.000,0.00,0.000,0.00
489,2619.,0.7685E-04,0.1040E+05,0.000,0.00,0.000,0.00,0.000,0.00
490,2624.,0.5846E-03,0.7944E+05,0.000,0.00,0.000,0.00,0.000,0.00
491,2631.,0.9032E-04,0.1234E+05,0.000,0.00,0.000,0.00,0.000,0.00
492,2637.,0.1660E-03,0.2278E+05,0.000,0.00,0.000,0.00,0.000,0.00
493,2641.,0.4585E-04,6311.,0.000,0.00,0.000,0.00,0.000,0.00
494,2645.,0.6974E-04,9629.,0.000,0.00,0.000,0.00,0.000,0.00
495,2648.,0.1153E-02,0.1596E+06,0.000,0.00,0.000,0.00,0.000,0.00
496,2657.,0.2909E-03,0.4052E+05,0.000,0.00,0.000,0.00,0.000,0.00
497,2658.,0.1433E-03,0.1999E+05,0.000,0.00,0.000,0.00,0.000,0.00
498,2662.,0.2030E-03,0.2838E+05,0.000,0.00,0.000,0.00,0.000,0.00
499,2669.,0.1035E-03,0.1456E+05,0.000,0.00,0.000,0.00,0.000,0.00
500,2674.,0.1135E-03,0.1602E+05,0.000,0.00,0.000,0.00,0.000,0.00
501,2684.,0.1341E-04,1907.,0.000,0.00,0.000,0.00,0.000,0.00
502,2690.,0.7179E-03,0.1025E+06,0.000,0.00,0.000,0.00,0.000,0.00
503,2690.,0.1908E-04,2725.,0.000,0.00,0.000,0.00,0.000,0.00
504,2700.,0.2507E-03,0.3609E+05,0.000,0.00,0.000,0.00,0.000,0.00
505,2709.,0.2321E-03,0.3362E+05,0.000,0.00,0.000,0.00,0.000,0.00
506,2714.,0.5571E-04,8097.,0.000,0.00,0.000,0.00,0.000,0.00
507,2715.,0.3163E-03,0.4600E+05,0.000,0.00,0.000,0.00,0.000,0.00
508,2718.,0.1916E-03,0.2793E+05,0.000,0.00,0.000,0.00,0.000,0.00
509,2728.,0.1804E-04,2649.,0.000,0.00,0.000,0.00,0.000,0.00
510,2737.,0.4710E-04,6967.,0.000,0.00,0.000,0.00,0.000,0.00
